,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial
0,0.12,237,221,201,90330,57
0,0.15,219,217,201,68578,57
0,0.18,229,225,201,109338,57
0,0.21,281,243,201,184069,57
0,0.24,339,249,201,173601,57
0,0.27,349,263,201,230717,57
0,0.3,405,259,203,442269,57
0,0.32999999999999996,563,283,211,720449,57
0,0.0,201,201,201,10201,58
0,0.03,201,201,201,19983,58
0,0.06,213,211,201,44228,58
0,0.09,229,223,201,24791,58
0,0.12,223,219,201,49451,58
0,0.15,257,219,201,106333,58
0,0.18,237,227,201,128172,58
0,0.21,297,251,201,139456,58
0,0.24,271,237,201,206260,58
0,0.27,325,243,201,224716,58
0,0.3,395,281,205,511742,58
0,0.32999999999999996,473,291,209,673294,58
0,0.0,201,201,201,10201,59
0,0.03,207,207,201,17496,59
0,0.06,219,215,201,58258,59
0,0.09,219,215,201,91914,59
0,0.12,243,219,201,137854,59
0,0.15,241,223,201,135359,59
0,0.18,257,239,201,160236,59
0,0.21,309,259,201,132045,59
0,0.24,311,249,201,367578,59
0,0.27,485,275,201,339116,59
0,0.3,363,241,203,284947,59
0,0.32999999999999996,687,309,211,785025,59
0,0.0,201,201,201,10201,60
0,0.03,207,207,201,41343,60
0,0.06,215,211,201,31581,60
0,0.09,213,213,201,39284,60
0,0.12,243,225,201,117510,60
0,0.15,231,223,201,125864,60
0,0.18,261,239,201,89915,60
0,0.21,261,235,201,143720,60
0,0.24,303,233,201,270054,60
0,0.27,331,261,205,290241,60
0,0.3,315,255,207,240329,60
0,0.32999999999999996,533,295,205,484109,60
0,0.0,201,201,201,10201,61
0,0.03,205,205,201,19316,61
0,0.06,219,211,201,50157,61
0,0.09,213,211,201,65511,61
0,0.12,229,227,201,75419,61
0,0.15,265,233,201,135472,61
0,0.18,255,227,201,125011,61
0,0.21,283,247,201,116033,61
0,0.24,263,231,201,176758,61
0,0.27,315,247,201,282370,61
0,0.3,311,237,203,461539,61
0,0.32999999999999996,473,271,211,491231,61
0,0.0,201,201,201,10201,62
0,0.03,213,211,201,14636,62
0,0.06,219,217,201,26393,62
0,0.09,225,215,201,70471,62
0,0.12,251,231,201,82956,62
0,0.15,253,229,201,108601,62
0,0.18,225,221,201,152801,62
0,0.21,269,243,201,100216,62
0,0.24,307,259,201,150483,62
0,0.27,323,257,205,317613,62
0,0.3,315,255,205,420178,62
0,0.32999999999999996,365,243,207,478559,62
0,0.0,201,201,201,10201,63
0,0.03,205,205,201,46053,63
0,0.06,213,211,201,31316,63
0,0.09,227,213,201,52487,63
0,0.12,239,229,201,92616,63
0,0.15,227,223,201,105931,63
0,0.18,291,241,201,128405,63
0,0.21,289,243,201,273121,63
0,0.24,251,221,201,270831,63
0,0.27,343,273,203,273125,63
0,0.3,581,317,209,473169,63
0,0.32999999999999996,451,281,211,229240,63
0,0.0,201,201,201,10201,64
0,0.03,211,211,201,40856,64
0,0.06,215,213,201,44932,64
0,0.09,247,227,201,34909,64
0,0.12,231,221,201,100961,64
0,0.15,281,245,201,95435,64
0,0.18,281,233,201,206254,64
0,0.21,279,237,201,120717,64
0,0.24,313,261,201,205612,64
0,0.27,317,239,203,278302,64
0,0.3,313,255,201,279136,64
0,0.32999999999999996,523,299,221,454179,64
0,0.0,201,201,201,10201,65
0,0.03,207,207,201,43515,65
0,0.06,219,213,201,49160,65
0,0.09,223,219,201,52689,65
0,0.12,243,225,201,90202,65
0,0.15,303,253,201,64915,65
0,0.18,255,237,201,75250,65
0,0.21,249,227,201,149562,65
0,0.24,311,259,201,247220,65
0,0.27,365,261,201,374702,65
0,0.3,515,277,201,391380,65
0,0.32999999999999996,379,245,207,408969,65
0,0.0,201,201,201,10201,66
0,0.03,207,205,201,22643,66
0,0.06,225,217,201,57281,66
0,0.09,217,215,201,49278,66
0,0.12,235,217,201,53453,66
0,0.15,279,229,201,177610,66
0,0.18,253,221,201,172956,66
0,0.21,299,247,201,168197,66
0,0.24,339,273,201,162232,66
